Repositório,Linguagem
assetbank,Python
authenticated-relay,Solidity
autoscaler,Go
Chroma,C
connectors,
DirectBehaviorSpecification,ASP.NET
fastbuild,C++
FASTBuildMonitor,
genesis-contracts,Solidity
GitTimeLapseView,C#
imgui,C++
massgate,C++
mixer,Python
mobydq,Vue
NGitLab,C#
quartz-tezos-contracts,JavaScript
Sharpmake,C#
shotmanager,Python
SmartNavEnvironment,C#
SmartNavMapGenerator,C#
stampinfo,Python
task-scheduler,C++
ubisoft-laforge-animation-dataset,Python
ubisoft-laforge-asaf,Python
ubisoft-laforge-BinaryAlignWordAlignementasBinarySequenceLabeling,Python
ubisoft-laforge-brownbuild,Python
ubisoft-laforge-climate-change-dataset,
ubisoft-laforge-CrashReportPriorizationForLargeScaleScheduledLaunches,Jupyter Notebook
ubisoft-laforge-daft-exprt,Python
ubisoft-laforge-disentanglement-metrics,Python
ubisoft-laforge-face-editing-face-editing-using-part-based-optimization-of-the-latent-space,Python
ubisoft-laforge-FFHQ-UV-Intrinsics,
ubisoft-laforge-french-homograph-dataset,
ubisoft-laforge-lookat,Roff
ubisoft-laforge-msmd,Python
ubisoft-laforge-Poisson-Filters,HLSL
ubisoft-laforge-predictionperformance,Python
ubisoft-laforge-PredictiveDeadReckoning,Python
ubisoft-laforge-toxbuster,Python
Ubisoft-LaForge-ToxPlainerDataSet,
ubisoft-laforge-ZeroEGGS,Python
usd-lod-schema-proposal,
videotracks,Python
vrtist,C#
vulnmine,Python
